,Seattle Mariners, 2, @,  Toronto Blue Jays, 7,     Boxscore,
,Minnesota Twins, 3, @,  LA Angels of Anaheim, 4,     Boxscore,
, Pittsburgh Pirates, 9, @,  Atlanta Braves, 3,     Boxscore,
,Oakland Athletics, 6, @,  Boston Red Sox, 11,     Boxscore,
,Los Angeles Dodgers, 2, @,  Colorado Rockies, 6,     Boxscore,
,New York Mets, 3, @,  Houston Astros, 4,     Boxscore,
, Arizona D'Backs, 9, @,  Miami Marlins, 5,     Boxscore,
,Baltimore Orioles, 1, @,  New York Yankees, 2,     Boxscore,
,Chicago Cubs, 4, @,  Philadelphia Phillies, 6,     Boxscore,
, Milwaukee Brewers, 8, @,  San Diego Padres, 3,     Boxscore,
,Seattle Mariners, 2, @,  Tampa Bay Rays, 3,     Boxscore,
, Texas Rangers, 4, @,  Toronto Blue Jays, 1,     Boxscore,
,Minnesota Twins, 0, @,  LA Angels of Anaheim, 4,     Boxscore,
, Philadelphia Phillies, 4, @,  Atlanta Braves, 2,     Boxscore,
, Oakland Athletics, 5, @,  Boston Red Sox, 3,     Boxscore,
,Cleveland Indians, 2, @,  Chicago White Sox, 7,     Boxscore,
, Los Angeles Dodgers, 7, @,  Colorado Rockies, 6,     Boxscore,
,Kansas City Royals, 3, @,  Detroit Tigers, 9,     Boxscore,
,New York Mets, 3, @,  Houston Astros, 6,     Boxscore,
, Baltimore Orioles, 7, @,  New York Yankees, 1,     Boxscore,
,Milwaukee Brewers, 0, @,  San Diego Padres, 2,     Boxscore,
, Miami Marlins, 2, @,  San Francisco Giants, 1,     Boxscore,
,Pittsburgh Pirates, 7, @,  St. Louis Cardinals, 10,     Boxscore,
,Seattle Mariners, 1, @,  Tampa Bay Rays, 3,     Boxscore,
,Texas Rangers, 7, @,  Toronto Blue Jays, 8,     Boxscore,
, Arizona D'Backs, 5, @,  Washington Nationals, 1,     Boxscore,
,Minnesota Twins, 0, @,  LA Angels of Anaheim, 9,     Boxscore,
,Philadelphia Phillies, 13, @,  Atlanta Braves, 15,     Boxscore,
, Oakland Athletics, 4, @,  Boston Red Sox, 2,     Boxscore,
, Cleveland Indians, 6, @,  Chicago White Sox, 3,     Boxscore,
, Chicago Cubs, 3, @,  Cincinnati Reds, 1,     Boxscore,
,Los Angeles Dodgers, 5, @,  Colorado Rockies, 8,     Boxscore,
, Kansas City Royals, 3, @,  Detroit Tigers, 2,     Boxscore,
,New York Mets, 1, @,  Houston Astros, 8,     Boxscore,
, Baltimore Orioles, 5, @,  New York Yankees, 0,     Boxscore,
,Milwaukee Brewers, 0, @,  San Diego Padres, 5,     Boxscore,
, Miami Marlins, 3, @,  San Francisco Giants, 2,     Boxscore,
,Pittsburgh Pirates, 3, @,  St. Louis Cardinals, 12,     Boxscore,
,Seattle Mariners, 4, @,  Tampa Bay Rays, 5,     Boxscore,
,Texas Rangers, 5, @,  Toronto Blue Jays, 11,     Boxscore,
,Arizona D'Backs, 4, @,  Washington Nationals, 5,     Boxscore,
, Toronto Blue Jays, 5, @,  LA Angels of Anaheim, 0,     Boxscore,
, Philadelphia Phillies, 4, @,  Atlanta Braves, 0,     Boxscore,
, Cleveland Indians, 7, @,  Chicago White Sox, 5,     Boxscore,
,Chicago Cubs, 3, @,  Cincinnati Reds, 4,     Boxscore,
,New York Yankees, 3, @,  Kansas City Royals, 4,     Boxscore,
, Miami Marlins, 3, @,  San Francisco Giants, 2,     Boxscore,
, Pittsburgh Pirates, 6, @,  St. Louis Cardinals, 3,     Boxscore,
,Seattle Mariners, 3, @,  Tampa Bay Rays, 4,     Boxscore,
,Arizona D'Backs, 1, @,  Washington Nationals, 2,     Boxscore,
, Toronto Blue Jays, 4, @,  LA Angels of Anaheim, 0,     Boxscore,
, Baltimore Orioles, 6, @,  Boston Red Sox, 4,     Boxscore,
,Los Angeles Dodgers, 4, @,  Chicago Cubs, 5,     Boxscore,
,Texas Rangers, 3, @,  Cleveland Indians, 6,     Boxscore,
