, Seattle Mariners, 8, @,  Chicago White Sox, 5,     Boxscore,
,Texas Rangers, 3, @,  Cleveland Indians, 7,     Boxscore,
, Cincinnati Reds, 9, @,  Colorado Rockies, 4,     Boxscore,
, Tampa Bay Devil Rays, 7, @,  Detroit Tigers, 3,     Boxscore,
,Florida Marlins, 4, @,  Houston Astros, 6,     Boxscore,
,Philadelphia Phillies, 6, @,  Los Angeles Dodgers, 7,     Boxscore,
,Montreal Expos, 4, @,  Milwaukee Brewers, 8,     Boxscore,
, Baltimore Orioles, 5, @,  Minnesota Twins, 2,     Boxscore,
,Oakland Athletics, 6, @,  New York Yankees, 7,     Boxscore,
,Pittsburgh Pirates, 1, @,  San Diego Padres, 8,     Boxscore,
,Chicago Cubs, 0, @,  San Francisco Giants, 5,     Boxscore,
, New York Mets, 6, @,  St. Louis Cardinals, 5,     Boxscore,
, Anaheim Angels, 4, @,  Toronto Blue Jays, 1,     Boxscore,
,Atlanta Braves, 5, @,  Arizona D'Backs, 7,     Boxscore,
, Kansas City Royals, 11, @,  Boston Red Sox, 8,     Boxscore,
,Seattle Mariners, 1, @,  Chicago White Sox, 2,     Boxscore,
,Texas Rangers, 2, @,  Cleveland Indians, 9,     Boxscore,
,Cincinnati Reds, 7, @,  Colorado Rockies, 14,     Boxscore,
,Tampa Bay Devil Rays, 1, @,  Detroit Tigers, 6,     Boxscore,
, Florida Marlins, 11, @,  Houston Astros, 5,     Boxscore,
,Philadelphia Phillies, 1, @,  Los Angeles Dodgers, 4,     Boxscore,
,Montreal Expos, 0, @,  Milwaukee Brewers, 10,     Boxscore,
,Baltimore Orioles, 0, @,  Minnesota Twins, 4,     Boxscore,
,Oakland Athletics, 1, @,  New York Yankees, 3,     Boxscore,
,Pittsburgh Pirates, 1, @,  San Diego Padres, 6,     Boxscore,
, Chicago Cubs, 11, @,  San Francisco Giants, 2,     Boxscore,
,New York Mets, 1, @,  St. Louis Cardinals, 12,     Boxscore,
,Anaheim Angels, 0, @,  Toronto Blue Jays, 2,     Boxscore,
,Tampa Bay Devil Rays, 3, @,  Baltimore Orioles, 5,     Boxscore,
,New York Yankees, 1, @,  Minnesota Twins, 2,     Boxscore,
,Houston Astros, 2, @,  New York Mets, 8,     Boxscore,
, Kansas City Royals, 6, @,  Toronto Blue Jays, 3,     Boxscore,
,Chicago White Sox, 4, @,  Anaheim Angels, 6,     Boxscore,
, Milwaukee Brewers, 5, @,  Atlanta Braves, 3,     Boxscore,
,Tampa Bay Devil Rays, 1, @,  Baltimore Orioles, 3,     Boxscore,
, San Diego Padres, 10, @,  Chicago Cubs, 3,     Boxscore,
,Los Angeles Dodgers, 6, @,  Cincinnati Reds, 7,     Boxscore,
,St. Louis Cardinals, 3, @,  Florida Marlins, 4,     Boxscore,
, Cleveland Indians, 13, @,  Kansas City Royals, 2,     Boxscore,
, New York Yankees, 4, @,  Minnesota Twins, 0,     Boxscore,
, Arizona D'Backs, 8, @,  Montreal Expos, 3,     Boxscore,
,Houston Astros, 5, @,  New York Mets, 7,     Boxscore,
, Toronto Blue Jays, 5, @,  Oakland Athletics, 4,     Boxscore,
,Colorado Rockies, 1, @,  Philadelphia Phillies, 7,     Boxscore,
, San Francisco Giants, 11, @,  Pittsburgh Pirates, 6,     Boxscore,
